number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_l1_ratio,params_max_iter,params_penalty,params_solver,state
36,0.7430692103305239,2025-11-26 20:51:05.971358,2025-11-26 20:51:06.892991,0 days 00:00:00.921633,0.0074526034164071695,balanced,0.006305678794888081,271,elasticnet,saga,COMPLETE
39,0.7429853221122673,2025-11-26 20:51:09.189404,2025-11-26 20:51:09.836945,0 days 00:00:00.647541,0.004973977507627533,balanced,0.001766059611327254,108,elasticnet,saga,COMPLETE
35,0.7429853221122673,2025-11-26 20:51:04.728004,2025-11-26 20:51:05.964424,0 days 00:00:01.236420,0.04047667151405476,balanced,0.05518433299062797,243,elasticnet,saga,COMPLETE
38,0.7429853177149187,2025-11-26 20:51:08.012046,2025-11-26 20:51:09.187034,0 days 00:00:01.174988,0.020116459810057066,balanced,0.016038431447892097,107,elasticnet,saga,COMPLETE
34,0.7429643489583659,2025-11-26 20:51:04.168298,2025-11-26 20:51:04.725468,0 days 00:00:00.557170,0.03268558155410577,balanced,,393,l2,saga,COMPLETE
1,0.742943378003139,2025-11-26 20:49:06.680708,2025-11-26 20:49:08.777485,0 days 00:00:02.096777,0.038548416434301645,balanced,,546,l2,saga,COMPLETE
19,0.7429433780031389,2025-11-26 20:49:36.657632,2025-11-26 20:49:40.392115,0 days 00:00:03.734483,0.24626617384633614,balanced,,813,l1,saga,COMPLETE
11,0.7429224092465863,2025-11-26 20:49:25.815550,2025-11-26 20:49:26.504005,0 days 00:00:00.688455,0.7763816493766864,balanced,,436,l2,saga,COMPLETE
31,0.7429224092465863,2025-11-26 20:51:02.599144,2025-11-26 20:51:03.061468,0 days 00:00:00.462324,0.7228766814910068,balanced,,470,l2,saga,COMPLETE
32,0.7429014404900334,2025-11-26 20:51:03.063668,2025-11-26 20:51:03.535230,0 days 00:00:00.471562,0.5835711637813051,balanced,,437,l2,saga,COMPLETE
12,0.7429014404900334,2025-11-26 20:49:26.507151,2025-11-26 20:49:27.388460,0 days 00:00:00.881309,0.6290765794220154,balanced,,442,l2,saga,COMPLETE
30,0.7429014404900334,2025-11-26 20:50:40.098540,2025-11-26 20:51:02.596236,0 days 00:00:22.497696,3.3036021658122507,balanced,0.6221633567016426,715,elasticnet,saga,COMPLETE
42,0.7429014382913592,2025-11-26 20:51:12.175902,2025-11-26 20:51:13.137013,0 days 00:00:00.961111,0.03416748772347566,balanced,0.013268757929008142,107,elasticnet,saga,COMPLETE
3,0.7429014382913592,2025-11-26 20:49:11.555307,2025-11-26 20:49:12.162344,0 days 00:00:00.607037,1.4158430535092084,balanced,,168,l2,saga,COMPLETE
17,0.7429014360926851,2025-11-26 20:49:33.838198,2025-11-26 20:49:35.124542,0 days 00:00:01.286344,0.009291523901751052,balanced,,313,l2,saga,COMPLETE
24,0.7428804695348064,2025-11-26 20:50:29.853033,2025-11-26 20:50:30.401274,0 days 00:00:00.548241,0.33437355069659325,balanced,,540,l2,saga,COMPLETE
13,0.742880465137458,2025-11-26 20:49:27.391875,2025-11-26 20:49:28.364003,0 days 00:00:00.972128,0.09867134299241505,balanced,,365,l2,saga,COMPLETE
16,0.7428804651374579,2025-11-26 20:49:32.819082,2025-11-26 20:49:33.826566,0 days 00:00:01.007484,0.06849093719929882,balanced,,715,l2,saga,COMPLETE
21,0.7428804629387836,2025-11-26 20:49:41.623554,2025-11-26 20:49:44.112442,0 days 00:00:02.488888,0.17804412476937764,balanced,,827,l1,saga,COMPLETE
9,0.7428804629387835,2025-11-26 20:49:24.615877,2025-11-26 20:49:25.137994,0 days 00:00:00.522117,0.0793204882028637,balanced,,837,l2,saga,COMPLETE
47,0.7428804541440865,2025-11-26 20:51:20.639260,2025-11-26 20:51:22.249565,0 days 00:00:01.610305,0.021589771192763764,balanced,0.09258851683097859,275,elasticnet,saga,COMPLETE
33,0.7428595007782537,2025-11-26 20:51:03.537511,2025-11-26 20:51:04.165213,0 days 00:00:00.627702,0.2709291764743543,balanced,,512,l2,saga,COMPLETE
22,0.7428594985795794,2025-11-26 20:49:44.115440,2025-11-26 20:49:56.400564,0 days 00:00:12.285124,1.1144643847724538,balanced,,656,l1,saga,COMPLETE
23,0.7428594985795793,2025-11-26 20:49:56.404194,2025-11-26 20:50:29.847772,0 days 00:00:33.443578,3.719530244011218,balanced,,831,l1,saga,COMPLETE
28,0.7428594963809052,2025-11-26 20:50:32.113143,2025-11-26 20:50:39.607436,0 days 00:00:07.494293,0.706280836456014,balanced,0.994967037060239,609,elasticnet,saga,COMPLETE
14,0.7428594963809052,2025-11-26 20:49:28.387964,2025-11-26 20:49:30.281921,0 days 00:00:01.893957,2.074905079587368,balanced,,641,l2,saga,COMPLETE
5,0.7428385276243524,2025-11-26 20:49:12.851031,2025-11-26 20:49:18.692357,0 days 00:00:05.841326,7.980017504219477,balanced,,178,l1,saga,COMPLETE
45,0.7428175588677997,2025-11-26 20:51:15.537295,2025-11-26 20:51:16.417398,0 days 00:00:00.880103,0.0063471408663922715,balanced,0.0884884091578658,149,elasticnet,saga,COMPLETE
15,0.7427965835152242,2025-11-26 20:49:30.438420,2025-11-26 20:49:32.804292,0 days 00:00:02.365872,89.19327205946743,balanced,,466,l1,saga,COMPLETE
46,0.7427546438034444,2025-11-26 20:51:16.420477,2025-11-26 20:51:20.637024,0 days 00:00:04.216547,0.05274356412784506,balanced,0.30371565613674323,209,elasticnet,saga,COMPLETE
44,0.7426917287390891,2025-11-26 20:51:13.762700,2025-11-26 20:51:15.534153,0 days 00:00:01.771453,0.014896659707057556,balanced,0.14592031961414498,219,elasticnet,saga,COMPLETE
25,0.7426497890273094,2025-11-26 20:50:30.403473,2025-11-26 20:50:31.026407,0 days 00:00:00.622934,0.04391405558758497,balanced,,739,l1,saga,COMPLETE
8,0.7426497450538239,2025-11-26 20:49:19.652705,2025-11-26 20:49:24.610530,0 days 00:00:04.957825,0.38226652594420657,,,184,l1,saga,COMPLETE
41,0.7426288202707566,2025-11-26 20:51:10.505964,2025-11-26 20:51:12.173455,0 days 00:00:01.667491,0.01809739967337844,balanced,0.16869254365471018,220,elasticnet,saga,COMPLETE
20,0.7426078537128783,2025-11-26 20:49:40.399300,2025-11-26 20:49:41.620614,0 days 00:00:01.221314,0.02713952042768548,balanced,,998,l1,saga,COMPLETE
40,0.742523921521136,2025-11-26 20:51:09.840947,2025-11-26 20:51:10.503639,0 days 00:00:00.662692,0.004680696256598579,,0.002984215217962739,117,elasticnet,saga,COMPLETE
37,0.7424819818093562,2025-11-26 20:51:06.895757,2025-11-26 20:51:08.008042,0 days 00:00:01.112285,0.007975180258665419,,0.03144194269359116,249,elasticnet,saga,COMPLETE
7,0.7424819774120077,2025-11-26 20:49:19.189849,2025-11-26 20:49:19.650435,0 days 00:00:00.460586,0.01712225264389506,,,339,l2,saga,COMPLETE
