iter	Logloss
0	0.6914247641
1	0.6897189866
2	0.6879764625
3	0.6861169674
4	0.6844647666
5	0.6829498162
6	0.6812749257
7	0.6795075972
8	0.6778924092
9	0.6761208354
10	0.6744264257
11	0.6727361226
12	0.6713032564
13	0.6695292613
14	0.6680480325
15	0.6665479074
16	0.6650700715
17	0.6637977025
18	0.6622034283
19	0.6607256237
20	0.6593687843
21	0.6578588904
22	0.6562002037
23	0.6547390588
24	0.6534391283
25	0.6521012039
26	0.6508789901
27	0.6494712191
28	0.6481257266
29	0.6469097719
30	0.6455950418
31	0.6444192691
32	0.64310681
33	0.6416753711
34	0.6403622605
35	0.6392156708
36	0.6379190861
37	0.6365915287
38	0.6354491183
39	0.6342420407
40	0.6330377707
41	0.6318850323
42	0.6308731953
43	0.6299608263
44	0.6288922962
45	0.6278939528
46	0.6266052361
47	0.6253867527
48	0.6243798959
49	0.6232669165
50	0.6221530402
51	0.6210793799
52	0.6200496304
53	0.6191675697
54	0.6181523023
55	0.6171313904
56	0.6161601196
57	0.6151781457
58	0.6144515412
59	0.6134780225
60	0.6125944924
61	0.6117155593
62	0.6108872386
63	0.6100023482
64	0.6090258708
65	0.6082056853
66	0.6073013808
67	0.6064262734
68	0.6058780606
69	0.6050303203
70	0.6040925017
71	0.6033693141
72	0.6025334602
73	0.6016399663
74	0.6008063889
75	0.6001090781
76	0.5992459809
77	0.598458758
78	0.5975219735
79	0.5968448823
80	0.5960270809
81	0.5953725114
82	0.5945933792
83	0.5939648692
84	0.593332858
85	0.5925077992
86	0.5917541854
87	0.5911962368
88	0.5904188625
89	0.5897108712
90	0.589049252
91	0.5883553478
92	0.5876944844
93	0.5869755542
94	0.5864235354
95	0.5858485102
96	0.5852818286
97	0.58477662
98	0.5841294125
99	0.5833548902
100	0.582741629
101	0.582012046
102	0.5812905196
103	0.5806134223
104	0.5801845148
105	0.5796792148
106	0.5790443828
107	0.5784534895
108	0.5778449884
109	0.5775321465
110	0.5769043975
111	0.5763567926
112	0.5756864681
113	0.5750440924
114	0.5743843336
115	0.5737820278
116	0.5732755718
117	0.5727855324
118	0.5722094485
119	0.5716397913
120	0.5711701975
121	0.5706193954
122	0.5701064877
123	0.5697362669
124	0.5691641951
125	0.5686746565
126	0.5682990032
127	0.567756778
128	0.5671749321
129	0.5666587752
130	0.5661775945
131	0.5656471096
132	0.5651774121
133	0.5647205473
134	0.5643898033
135	0.5639615093
136	0.5635237904
137	0.5631158124
138	0.5627972652
139	0.5624073322
140	0.5619553405
141	0.5615475712
142	0.5610977254
143	0.5607490482
144	0.5604138938
145	0.5599504804
146	0.5594570663
147	0.5590732498
148	0.5586886503
149	0.558253029
150	0.5578547551
151	0.5574766283
152	0.5570619457
153	0.5566915837
154	0.5562664236
155	0.5559537477
156	0.555505809
157	0.5552006439
158	0.5547645862
159	0.5543958071
160	0.5541173306
161	0.5537897068
162	0.5533623556
163	0.5528737513
164	0.5524184571
165	0.5520362964
166	0.5516732641
167	0.5512881975
168	0.5509206217
169	0.5505865172
170	0.5501870692
171	0.5500284389
172	0.5496118743
173	0.5493276359
174	0.5489818522
175	0.5486527733
176	0.548254
177	0.5479185003
178	0.5474945032
179	0.5471631638
180	0.5468939229
181	0.5465873825
182	0.5462809805
183	0.5459887418
184	0.5456745724
185	0.545327795
186	0.5450912355
187	0.5448840719
188	0.5445484048
