iter	Passed	Remaining
0	180	445266
1	333	410392
2	522	428854
3	637	392011
4	810	398864
5	1000	409981
6	1114	391347
7	1223	375764
8	1444	394079
9	1623	398494
10	1742	388669
11	1915	391606
12	2047	386198
13	2168	379639
14	2262	369575
15	2375	363616
16	2468	355436
17	2532	344239
18	2644	340430
19	2739	334948
20	2832	329650
21	2935	325947
22	3030	321795
23	3139	319324
24	3231	315374
25	3317	311200
26	3407	307707
27	3499	304611
28	3590	301571
29	3692	299742
30	3774	296391
31	3859	293472
32	3957	291645
33	4044	289153
34	4140	287439
35	4226	285152
36	4320	283490
37	4410	281660
38	4510	280576
39	4600	278897
40	4717	278926
41	4834	278894
42	4940	278268
43	5045	277592
44	5175	278329
45	5294	278423
46	5462	281040
47	5670	285510
48	5829	287425
49	6057	292587
50	6281	297329
51	6507	301968
52	6730	306296
53	6949	310272
54	7152	313416
55	7400	318358
56	7579	320200
57	7781	322951
58	7927	323297
59	8158	327022
60	8436	332463
61	8649	335240
62	8813	336041
63	9012	338091
64	9206	339923
65	9434	342932
66	9624	344474
67	9836	346739
68	9983	346680
69	10197	348890
70	10408	350957
71	10587	351902
72	10803	353997
73	11039	356681
74	11238	358125
75	11446	359800
76	11633	360801
77	11846	362532
78	12067	364467
79	12325	367456
80	12531	368819
81	12759	370790
82	13084	375514
83	13317	377481
84	13560	379705
85	13833	382661
86	14102	385474
87	15118	408359
88	15631	417313
89	16306	430305
90	16850	439605
91	17147	442287
92	17380	443301
93	17707	446642
94	18047	450244
95	18486	456192
96	19047	465000
97	19489	470728
98	20501	489964
99	21627	511482
100	22643	529983
101	23338	540665
102	24059	551742
103	24430	554622
104	24688	554907
105	25369	564579
106	25695	566261
107	26186	571505
108	26587	574679
109	26808	573954
110	27147	575731
111	27496	577672
112	27881	580320
113	28249	582590
114	28787	588262
115	29466	596702
116	29736	596770
117	30152	599721
118	30587	603007
119	30966	605144
120	31325	606839
121	31777	610279
122	32133	611848
123	32458	612782
124	32798	613994
125	33098	614418
126	33448	615762
127	33815	617404
128	34170	618776
129	34496	619604
130	34729	618775
131	34971	618095
132	35213	617435
133	35438	616467
134	35653	615350
135	35847	613889
136	36022	612126
137	36252	611294
138	36539	611448
139	36880	612484
140	37148	612299
141	37404	611912
142	37682	611871
143	38084	613840
144	38345	613526
145	38586	612896
146	38834	612371
147	39079	611805
148	39322	611215
149	39612	611357
150	39843	610577
151	40086	610000
152	40316	609221
153	40737	611320
154	41149	613259
155	41586	615533
156	41988	617251
157	42318	617902
158	42698	619265
159	43047	620158
160	43306	619737
161	43773	622282
162	44209	624359
163	44566	625296
164	44835	624983
165	45096	624556
166	45458	625523
167	46168	631250
168	46567	632663
169	46992	634396
170	47468	636805
171	47673	635551
172	47932	635040
173	48177	634332
174	48476	634347
175	48738	633873
176	49148	635317
177	49428	635067
178	50074	639493
179	50355	639239
180	50664	639322
181	50904	638546
182	51151	637852
183	51423	637478
184	51665	636740
185	51924	636211
186	52119	634907
187	52306	633522
188	52573	633108
189	52751	631635
190	53013	631169
191	53236	630247
192	53473	629491
193	53714	628788
194	53950	628042
195	54172	627128
196	54412	626433
197	54832	627802
198	55483	631790
199	55733	631182
200	55979	630533
201	56226	629906
202	56465	629185
203	56756	629053
204	56969	628053
205	57227	627553
206	57492	627141
207	57786	627034
208	58043	626537
209	58310	626148
210	58645	626481
211	58981	626816
212	59215	626074
213	59557	626465
214	59796	625781
215	60085	625608
216	60349	625184
217	60595	624580
218	61067	626285
219	61550	628094
220	61948	629011
221	62630	632796
222	63377	637189
223	63997	640261
224	64365	640794
225	64962	643589
226	65447	645253
227	65769	645293
228	66150	645910
229	66408	645314
230	66819	646210
231	67096	645803
232	67496	646577
233	68054	648844
234	68958	654368
235	69582	657198
236	70003	658091
237	70336	658152
238	70690	658397
239	71005	658278
240	71263	657632
241	71553	657289
242	71812	656653
243	72078	656091
244	72352	655601
245	73015	658626
246	73529	660275
247	73964	661210
248	74711	664900
249	75251	666730
250	75643	667227
251	75887	666424
252	76060	665001
253	76217	663454
254	76456	662619
255	76669	661577
256	76897	660662
257	77109	659619
258	77331	658661
259	77555	657730
260	77895	657786
261	78216	657674
262	78400	656420
263	78640	655634
264	78921	655196
265	79240	655073
266	79597	655265
267	79862	654694
268	80161	654405
269	80660	655742
270	81206	657445
271	81845	659877
272	82747	664405
273	83792	670032
274	84707	674580
275	85313	676631
276	85903	678546
277	86385	679583
278	86789	680010
279	87019	679059
280	87268	678273
281	87581	677977
282	87892	677675
283	88262	677817
284	88573	677512
285	88853	676965
286	89099	676159
287	89340	675324
288	89581	674493
289	89803	673524
290	90016	672491
291	90294	671948
292	90504	670907
293	90720	669910
294	90918	668788
295	91101	667567
296	91300	666465
297	91460	665085
298	91647	663904
299	91833	662728
300	92033	661665
301	92224	660533
302	92422	659460
303	92642	658555
304	92847	657545
305	93034	656410
306	93234	655372
307	93503	654824
308	93728	653977
309	93945	653073
310	94163	652178
311	94380	651287
312	94587	650328
313	94715	648832
314	94908	647785
315	95088	646660
316	95275	645590
317	95461	644517
318	95652	643483
319	95972	643313
320	96181	642411
321	96509	642300
322	96764	641701
323	96989	640907
324	97180	639893
325	97357	638797
326	97565	637905
327	97771	637007
328	97982	636140
329	98184	635221
330	98379	634262
331	98658	633852
332	98886	633108
333	99137	632522
334	99385	631912
335	99622	631238
336	99746	629853
337	99975	629137
338	100192	628347
339	100386	627412
340	100590	626551
341	100799	625724
342	101000	624849
343	101192	623923
344	101373	622931
345	101601	622238
346	101792	621317
347	102003	620519
348	102201	619652
349	102415	618883
350	102618	618050
351	102820	617216
352	102990	616193
353	103151	615120
354	103328	614146
355	103559	613500
356	103827	613076
357	104082	612574
358	104293	611814
359	104431	610633
360	104614	609718
361	104811	608891
362	105007	608060
