founder_id,founder_age,founder_gender,years_with_startup,founder_role,monthly_revenue_generated,work_life_balance_rating,venture_satisfaction,startup_performance_rating,funding_rounds_led,working_overtime,distance_from_investor_hub,education_background,personal_status,num_dependents,startup_stage,team_size_category,years_since_founding,remote_operations,leadership_scope,innovation_support,startup_reputation,founder_visibility,retention_status
64756,59,Female,4,Media,5534.0,Poor,High,Low,3,No,21,Master’s Degree,Divorced,3.0,Mid,Medium,21.0,No,No,No,Fair,Low,Stayed
29972,30,Female,12,Education,5443.0,Good,High,Average,1,No,51,High School,Single,1.0,Entry,Small,17.0,No,No,No,Good,Medium,Left
17696,40,Female,4,Finance,5176.0,Poor,High,Average,0,No,48,High School,Single,0.0,Entry,Small,21.0,Yes,No,No,Good,High,Left
19288,33,Female,1,Finance,8733.0,Good,High,Below Average,1,Yes,86,High School,Single,0.0,Mid,Small,19.0,No,No,No,Good,Low,Stayed
58984,39,Female,1,Finance,8079.0,Excellent,High,High,1,No,23,Master’s Degree,Single,0.0,Entry,Medium,20.0,No,No,No,Poor,Low,Left
20748,48,Male,9,Education,4987.0,Fair,High,Average,1,No,92,Associate Degree,Divorced,0.0,Entry,Medium,23.0,No,No,Yes,Good,Medium,Left
61864,42,Male,1,Technology,8874.0,Good,Medium,Average,1,No,31,Associate Degree,Divorced,2.0,Entry,Small,27.0,No,No,No,Poor,Very High,Stayed
65586,39,Male,22,Finance,5556.0,Good,High,Average,0,No,16,Associate Degree,Married,0.0,Entry,Medium,28.0,No,No,No,Excellent,Low,Left
51448,37,Male,6,Finance,7701.0,Good,High,Below Average,0,Yes,32,High School,Married,1.0,Entry,Medium,27.0,No,Yes,Yes,Good,Low,Stayed
74472,57,Female,23,Media,5938.0,Excellent,Very High,Average,2,Yes,3,Master’s Degree,Divorced,3.0,Mid,Medium,47.0,No,No,No,Good,Medium,Stayed
54804,31,Female,17,Media,5956.0,Good,High,Average,0,No,76,Bachelor’s Degree,Divorced,4.0,Entry,Small,27.0,No,No,No,Good,Low,Left
36437,56,Male,7,Technology,9878.0,Good,Very High,Average,2,No,58,Master’s Degree,Single,1.0,Entry,Small,22.0,No,No,No,Good,Low,Left
26304,25,Female,2,Healthcare,6690.0,Fair,Low,High,0,Yes,14,Associate Degree,Married,2.0,Entry,Medium,25.0,Yes,No,No,Good,Medium,Stayed
33430,21,Male,11,Media,6356.0,Poor,High,Average,0,No,89,Associate Degree,Married,0.0,Senior,Medium,12.0,No,No,No,Good,High,Stayed
66579,28,Female,12,Technology,7371.0,Good,High,Average,2,No,37,High School,Married,1.0,Mid,Medium,27.0,No,No,No,Good,Low,Stayed
1591,23,Female,2,Finance,7368.0,Fair,Very High,Below Average,0,No,15,Master’s Degree,Married,3.0,Senior,Small,17.0,No,No,Yes,Good,High,Stayed
65665,29,Male,8,Finance,7946.0,Poor,Very High,Average,0,No,75,Associate Degree,Single,1.0,Mid,Medium,17.0,No,Yes,No,Poor,High,Left
64242,27,Male,14,Finance,6026.0,Poor,High,Below Average,0,Yes,30,Bachelor’s Degree,Single,2.0,Mid,Large,20.0,No,No,No,Good,High,Left
68364,41,Female,11,Education,4431.0,Good,High,High,0,No,8,Associate Degree,Married,1.0,Senior,Medium,27.0,No,No,No,Excellent,Low,Left
14169,37,Female,2,Healthcare,7949.0,Excellent,Medium,Average,0,No,95,High School,Married,5.0,Entry,Large,6.0,Yes,No,No,Excellent,Low,Stayed
52985,45,Female,28,Media,6628.0,Good,High,Average,0,Yes,56,Bachelor’s Degree,Married,3.0,Senior,Medium,30.0,No,No,No,Fair,Low,Left
7424,58,Male,14,Technology,8683.0,Good,High,Average,2,No,34,Bachelor’s Degree,Divorced,1.0,Senior,Large,27.0,Yes,Yes,Yes,Good,Low,Stayed
3625,38,Male,18,Education,5246.0,Good,High,High,0,Yes,84,Master’s Degree,Divorced,2.0,Mid,Medium,20.0,No,No,No,Good,Low,Left
60485,30,Male,10,Media,7371.0,Good,High,Average,1,Yes,68,Bachelor’s Degree,Married,1.0,Entry,Medium,27.0,No,No,No,Poor,Low,Left
45545,35,Male,17,Healthcare,7625.0,Good,High,High,0,No,26,Bachelor’s Degree,Married,0.0,Mid,Large,31.0,No,No,No,Good,High,Stayed
23371,49,Female,22,Finance,12041.0,Good,High,Low,0,No,62,PhD,Single,1.0,Mid,Medium,27.0,No,No,Yes,Good,Low,Stayed
41178,33,Female,1,Finance,6534.0,Fair,Low,Average,1,No,21,Master’s Degree,Single,4.0,Entry,Small,12.0,No,No,No,Good,Medium,Left
17004,52,Male,15,Healthcare,7529.0,Good,Medium,Average,0,No,61,Bachelor’s Degree,Married,5.0,Entry,Large,34.0,No,No,No,Good,Very High,Stayed
18068,51,Male,12,Finance,4421.0,Good,High,Average,1,No,62,Master’s Degree,Single,0.0,Entry,Medium,14.0,Yes,No,No,Good,High,Stayed
