founder_id,founder_age,founder_gender,years_with_startup,founder_role,monthly_revenue_generated,work_life_balance_rating,venture_satisfaction,startup_performance_rating,funding_rounds_led,working_overtime,distance_from_investor_hub,education_background,personal_status,num_dependents,startup_stage,team_size_category,remote_operations,leadership_scope,innovation_support,startup_reputation,founder_visibility,retention_status
34774,58,Female,2,Education,4390.0,Good,Very High,Average,2,No,95,Master’s Degree,Single,1.0,Mid,Medium,No,No,No,Good,Low,Left
53125,54,Female,28,Healthcare,8279.0,Good,High,High,0,No,60,High School,Single,3.0,Entry,Medium,No,No,No,Good,Low,Left
47504,28,Male,15,Finance,7496.0,Good,High,Low,3,Yes,57,High School,Married,4.0,Senior,Small,No,No,No,Fair,Medium,Stayed
9128,32,Female,7,Education,4821.0,Poor,High,Average,2,No,29,Master’s Degree,Divorced,4.0,Mid,Small,No,No,No,Good,Medium,Left
53776,18,Male,10,Education,7358.0,Good,High,High,2,No,79,Associate Degree,Divorced,1.0,Mid,Medium,Yes,No,No,Excellent,High,Stayed
11523,35,Male,24,Education,2924.0,Good,Medium,High,0,Yes,33,Associate Degree,Married,2.0,Mid,Medium,No,No,No,Good,Medium,Stayed
803,20,Male,8,Finance,45180.0,Good,High,Low,1,Yes,63,Associate Degree,Single,0.0,Entry,Large,No,No,No,Good,Low,Left
63208,27,Male,3,Technology,36770.0,Good,High,Average,0,No,16,Master’s Degree,Divorced,1.0,Entry,Small,No,No,Yes,Good,Medium,Left
23827,39,Female,4,Technology,8513.0,Good,Medium,Average,2,Yes,49,Associate Degree,Married,1.0,Senior,Large,No,No,No,Good,Low,Stayed
51338,52,Male,23,Finance,9094.0,Fair,High,Average,1,No,31,PhD,Married,0.0,Mid,Medium,No,No,No,Poor,Low,Stayed
72703,34,Male,6,Media,6009.0,Fair,High,Below Average,0,No,72,Bachelor’s Degree,Married,2.0,Mid,Small,No,No,No,Good,Low,Stayed
14374,39,Female,30,Technology,5867.0,Fair,Medium,Average,2,No,13,Bachelor’s Degree,Married,0.0,Entry,Medium,No,No,No,Good,Medium,Stayed
62664,44,Female,22,Education,5778.0,Fair,High,Average,1,No,30,High School,Married,0.0,Mid,Medium,No,No,No,Good,Low,Stayed
6,56,Male,23,Finance,12207.0,Good,High,Average,1,Yes,27,High School,Married,0.0,Entry,Medium,No,No,No,Poor,Low,Left
41396,58,Male,10,Education,5316.0,Good,Very High,Below Average,0,Yes,46,High School,Divorced,1.0,Mid,Medium,No,No,No,Good,Low,Left
